c0,,X111 | X112 | X113 | X114 | X115 | X116 | X117 | X118 | X119,sodoku constraints
c1,,-X112 | -X111,sodoku constraints
c2,,-X113 | -X111,sodoku constraints
c3,,-X114 | -X111,sodoku constraints
c4,,-X115 | -X111,sodoku constraints
c5,,-X116 | -X111,sodoku constraints
c6,,-X117 | -X111,sodoku constraints
c7,,-X118 | -X111,sodoku constraints
c8,,-X119 | -X111,sodoku constraints
c9,,-X113 | -X112,sodoku constraints
c10,,-X114 | -X112,sodoku constraints
c11,,-X115 | -X112,sodoku constraints
c12,,-X116 | -X112,sodoku constraints
c13,,-X117 | -X112,sodoku constraints
c14,,-X118 | -X112,sodoku constraints
c15,,-X119 | -X112,sodoku constraints
c16,,-X114 | -X113,sodoku constraints
c17,,-X115 | -X113,sodoku constraints
c18,,-X116 | -X113,sodoku constraints
c19,,-X117 | -X113,sodoku constraints
c20,,-X118 | -X113,sodoku constraints
c21,,-X119 | -X113,sodoku constraints
c22,,-X115 | -X114,sodoku constraints
c23,,-X116 | -X114,sodoku constraints
c24,,-X117 | -X114,sodoku constraints
c25,,-X118 | -X114,sodoku constraints
c26,,-X119 | -X114,sodoku constraints
c27,,-X116 | -X115,sodoku constraints
c28,,-X117 | -X115,sodoku constraints
c29,,-X118 | -X115,sodoku constraints
c30,,-X119 | -X115,sodoku constraints
c31,,-X117 | -X116,sodoku constraints
c32,,-X118 | -X116,sodoku constraints
c33,,-X119 | -X116,sodoku constraints
c34,,-X118 | -X117,sodoku constraints
c35,,-X119 | -X117,sodoku constraints
c36,,-X119 | -X118,sodoku constraints
c37,,X111 | X121 | X131 | X141 | X151 | X161 | X171 | X181 | X191,sodoku constraints
c38,,X111 | X211 | X311 | X411 | X511 | X611 | X711 | X811 | X911,sodoku constraints
c39,,X121 | X122 | X123 | X124 | X125 | X126 | X127 | X128 | X129,sodoku constraints
c40,,-X122 | -X121,sodoku constraints
c41,,-X123 | -X121,sodoku constraints
c42,,-X124 | -X121,sodoku constraints
c43,,-X125 | -X121,sodoku constraints
c44,,-X126 | -X121,sodoku constraints
c45,,-X127 | -X121,sodoku constraints
c46,,-X128 | -X121,sodoku constraints
c47,,-X129 | -X121,sodoku constraints
c48,,-X123 | -X122,sodoku constraints
c49,,-X124 | -X122,sodoku constraints
c50,,-X125 | -X122,sodoku constraints
c51,,-X126 | -X122,sodoku constraints
c52,,-X127 | -X122,sodoku constraints
c53,,-X128 | -X122,sodoku constraints
c54,,-X129 | -X122,sodoku constraints
c55,,-X124 | -X123,sodoku constraints
c56,,-X125 | -X123,sodoku constraints
c57,,-X126 | -X123,sodoku constraints
c58,,-X127 | -X123,sodoku constraints
c59,,-X128 | -X123,sodoku constraints
c60,,-X129 | -X123,sodoku constraints
c61,,-X125 | -X124,sodoku constraints
c62,,-X126 | -X124,sodoku constraints
c63,,-X127 | -X124,sodoku constraints
c64,,-X128 | -X124,sodoku constraints
c65,,-X129 | -X124,sodoku constraints
c66,,-X126 | -X125,sodoku constraints
c67,,-X127 | -X125,sodoku constraints
c68,,-X128 | -X125,sodoku constraints
c69,,-X129 | -X125,sodoku constraints
c70,,-X127 | -X126,sodoku constraints
c71,,-X128 | -X126,sodoku constraints
c72,,-X129 | -X126,sodoku constraints
c73,,-X128 | -X127,sodoku constraints
c74,,-X129 | -X127,sodoku constraints
c75,,-X129 | -X128,sodoku constraints
c76,,X112 | X122 | X132 | X142 | X152 | X162 | X172 | X182 | X192,sodoku constraints
c77,,X112 | X212 | X312 | X412 | X512 | X612 | X712 | X812 | X912,sodoku constraints
c78,,X131 | X132 | X133 | X134 | X135 | X136 | X137 | X138 | X139,sodoku constraints
c79,,-X132 | -X131,sodoku constraints
c80,,-X133 | -X131,sodoku constraints
c81,,-X134 | -X131,sodoku constraints
c82,,-X135 | -X131,sodoku constraints
c83,,-X136 | -X131,sodoku constraints
c84,,-X137 | -X131,sodoku constraints
c85,,-X138 | -X131,sodoku constraints
c86,,-X139 | -X131,sodoku constraints
c87,,-X133 | -X132,sodoku constraints
c88,,-X134 | -X132,sodoku constraints
c89,,-X135 | -X132,sodoku constraints
c90,,-X136 | -X132,sodoku constraints
c91,,-X137 | -X132,sodoku constraints
c92,,-X138 | -X132,sodoku constraints
c93,,-X139 | -X132,sodoku constraints
c94,,-X134 | -X133,sodoku constraints
c95,,-X135 | -X133,sodoku constraints
c96,,-X136 | -X133,sodoku constraints
c97,,-X137 | -X133,sodoku constraints
c98,,-X138 | -X133,sodoku constraints
c99,,-X139 | -X133,sodoku constraints
c100,,-X135 | -X134,sodoku constraints
c101,,-X136 | -X134,sodoku constraints
c102,,-X137 | -X134,sodoku constraints
c103,,-X138 | -X134,sodoku constraints
c104,,-X139 | -X134,sodoku constraints
c105,,-X136 | -X135,sodoku constraints
c106,,-X137 | -X135,sodoku constraints
c107,,-X138 | -X135,sodoku constraints
c108,,-X139 | -X135,sodoku constraints
c109,,-X137 | -X136,sodoku constraints
c110,,-X138 | -X136,sodoku constraints
c111,,-X139 | -X136,sodoku constraints
c112,,-X138 | -X137,sodoku constraints
c113,,-X139 | -X137,sodoku constraints
c114,,-X139 | -X138,sodoku constraints
c115,,X113 | X123 | X133 | X143 | X153 | X163 | X173 | X183 | X193,sodoku constraints
c116,,X113 | X213 | X313 | X413 | X513 | X613 | X713 | X813 | X913,sodoku constraints
c117,,X141 | X142 | X143 | X144 | X145 | X146 | X147 | X148 | X149,sodoku constraints
c118,,-X142 | -X141,sodoku constraints
c119,,-X143 | -X141,sodoku constraints
c120,,-X144 | -X141,sodoku constraints
c121,,-X145 | -X141,sodoku constraints
c122,,-X146 | -X141,sodoku constraints
c123,,-X147 | -X141,sodoku constraints
c124,,-X148 | -X141,sodoku constraints
c125,,-X149 | -X141,*sodoku constraints
c126,,-X143 | -X142,sodoku constraints
c127,,-X144 | -X142,sodoku constraints
c128,,-X145 | -X142,sodoku constraints
c129,,-X146 | -X142,sodoku constraints
c130,,-X147 | -X142,sodoku constraints
c131,,-X148 | -X142,sodoku constraints
c132,,-X149 | -X142,*sodoku constraints
c133,,-X144 | -X143,sodoku constraints
c134,,-X145 | -X143,sodoku constraints
c135,,-X146 | -X143,sodoku constraints
c136,,-X147 | -X143,sodoku constraints
c137,,-X148 | -X143,sodoku constraints
c138,,-X149 | -X143,*sodoku constraints
c139,,-X145 | -X144,sodoku constraints
c140,,-X146 | -X144,sodoku constraints
c141,,-X147 | -X144,sodoku constraints
c142,,-X148 | -X144,sodoku constraints
c143,,-X149 | -X144,*sodoku constraints
c144,,-X146 | -X145,sodoku constraints
c145,,-X147 | -X145,sodoku constraints
c146,,-X148 | -X145,sodoku constraints
c147,,-X149 | -X145,*sodoku constraints
c148,,-X147 | -X146,sodoku constraints
c149,,-X148 | -X146,sodoku constraints
c150,,-X149 | -X146,*sodoku constraints
c151,,-X148 | -X147,sodoku constraints
c152,,-X149 | -X147,*sodoku constraints
c153,,-X149 | -X148,*sodoku constraints
c154,,X114 | X124 | X134 | X144 | X154 | X164 | X174 | X184 | X194,sodoku constraints
c155,,X114 | X214 | X314 | X414 | X514 | X614 | X714 | X814 | X914,sodoku constraints
c156,,X151 | X152 | X153 | X154 | X155 | X156 | X157 | X158 | X159,sodoku constraints
c157,,-X152 | -X151,sodoku constraints
c158,,-X153 | -X151,sodoku constraints
c159,,-X154 | -X151,sodoku constraints
c160,,-X155 | -X151,sodoku constraints
c161,,-X156 | -X151,sodoku constraints
c162,,-X157 | -X151,sodoku constraints
c163,,-X158 | -X151,sodoku constraints
c164,,-X159 | -X151,sodoku constraints
c165,,-X153 | -X152,sodoku constraints
c166,,-X154 | -X152,sodoku constraints
c167,,-X155 | -X152,sodoku constraints
c168,,-X156 | -X152,sodoku constraints
c169,,-X157 | -X152,sodoku constraints
c170,,-X158 | -X152,sodoku constraints
c171,,-X159 | -X152,sodoku constraints
c172,,-X154 | -X153,sodoku constraints
c173,,-X155 | -X153,sodoku constraints
c174,,-X156 | -X153,sodoku constraints
c175,,-X157 | -X153,sodoku constraints
c176,,-X158 | -X153,sodoku constraints
c177,,-X159 | -X153,sodoku constraints
c178,,-X155 | -X154,sodoku constraints
c179,,-X156 | -X154,sodoku constraints
c180,,-X157 | -X154,sodoku constraints
c181,,-X158 | -X154,sodoku constraints
c182,,-X159 | -X154,sodoku constraints
c183,,-X156 | -X155,sodoku constraints
c184,,-X157 | -X155,sodoku constraints
c185,,-X158 | -X155,sodoku constraints
c186,,-X159 | -X155,sodoku constraints
c187,,-X157 | -X156,sodoku constraints
c188,,-X158 | -X156,sodoku constraints
c189,,-X159 | -X156,sodoku constraints
c190,,-X158 | -X157,sodoku constraints
c191,,-X159 | -X157,sodoku constraints
c192,,-X159 | -X158,sodoku constraints
c193,,X115 | X125 | X135 | X145 | X155 | X165 | X175 | X185 | X195,sodoku constraints
c194,,X115 | X215 | X315 | X415 | X515 | X615 | X715 | X815 | X915,sodoku constraints
c195,,X161 | X162 | X163 | X164 | X165 | X166 | X167 | X168 | X169,sodoku constraints
c196,,-X162 | -X161,sodoku constraints
c197,,-X163 | -X161,sodoku constraints
c198,,-X164 | -X161,sodoku constraints
c199,,-X165 | -X161,sodoku constraints
c200,,-X166 | -X161,sodoku constraints
c201,,-X167 | -X161,sodoku constraints
c202,,-X168 | -X161,sodoku constraints
c203,,-X169 | -X161,sodoku constraints
c204,,-X163 | -X162,sodoku constraints
c205,,-X164 | -X162,sodoku constraints
c206,,-X165 | -X162,sodoku constraints
c207,,-X166 | -X162,sodoku constraints
c208,,-X167 | -X162,sodoku constraints
c209,,-X168 | -X162,sodoku constraints
c210,,-X169 | -X162,sodoku constraints
c211,,-X164 | -X163,sodoku constraints
c212,,-X165 | -X163,sodoku constraints
c213,,-X166 | -X163,sodoku constraints
c214,,-X167 | -X163,sodoku constraints
c215,,-X168 | -X163,sodoku constraints
c216,,-X169 | -X163,sodoku constraints
c217,,-X165 | -X164,sodoku constraints
c218,,-X166 | -X164,sodoku constraints
c219,,-X167 | -X164,sodoku constraints
c220,,-X168 | -X164,sodoku constraints
c221,,-X169 | -X164,sodoku constraints
c222,,-X166 | -X165,sodoku constraints
c223,,-X167 | -X165,sodoku constraints
c224,,-X168 | -X165,sodoku constraints
c225,,-X169 | -X165,sodoku constraints
c226,,-X167 | -X166,sodoku constraints
c227,,-X168 | -X166,sodoku constraints
c228,,-X169 | -X166,sodoku constraints
c229,,-X168 | -X167,sodoku constraints
c230,,-X169 | -X167,sodoku constraints
c231,,-X169 | -X168,sodoku constraints
c232,,X116 | X126 | X136 | X146 | X156 | X166 | X176 | X186 | X196,sodoku constraints
c233,,X116 | X216 | X316 | X416 | X516 | X616 | X716 | X816 | X916,sodoku constraints
c234,,X171 | X172 | X173 | X174 | X175 | X176 | X177 | X178 | X179,sodoku constraints
c235,,-X172 | -X171,sodoku constraints
c236,,-X173 | -X171,sodoku constraints
c237,,-X174 | -X171,sodoku constraints
c238,,-X175 | -X171,sodoku constraints
c239,,-X176 | -X171,sodoku constraints
